feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,mood
-697.7926025390625,54.89004135131836,0.6634654402732849,12.435786247253418,7.733951568603516,0.5307502746582031,-3.2166309356689453,-3.1593942642211914,-10.977551460266113,-2.8487110137939453,0.8152974247932434,-3.03706693649292,1.955446481704712,19.06341554722462,11.111397873719124,14.831702631461422,14.064220151476475,14.783035783788879,16.763103539763712,45.346245819984034,1772.773681640625,0.0022560888901352882,151.99908088235293,0.3727122486888112,6330.3852641499125,0.0036063881125301123,0.0016443069325760007,neutral
-692.8557739257812,55.363895416259766,-1.5483193397521973,16.038305282592773,8.81881046295166,-0.1465863436460495,-1.3733917474746704,-5.293179988861084,-11.62318229675293,-1.3482837677001953,0.8437146544456482,-2.6412782669067383,1.0172497034072876,19.701801331839423,12.058813539363118,15.653537765378998,14.88492348397965,15.124800354552406,16.8430684001181,44.91822683798229,1778.12548828125,0.0024186158552765846,151.99908088235293,0.3805508083767361,6237.152099609375,0.00418410450220108,0.002130963373929262,neutral
-691.587890625,58.024662017822266,0.15946462750434875,13.624650001525879,5.374113082885742,1.1623365879058838,-2.083359718322754,-5.382585048675537,-10.332823753356934,-3.662080764770508,0.5606004595756531,-2.838225841522217,1.8347854614257812,18.740107403548894,12.186304727721637,14.840007538126176,14.242441910326338,15.348363981028596,16.694573902359163,45.031481286773,1789.1707763671875,0.002809294033795595,123.046875,0.39912317154255317,6180.487450132979,0.005791290197521448,0.00388117553666234,neutral
-685.10546875,55.87942123413086,2.7832624912261963,13.252022743225098,6.9896697998046875,2.981274127960205,-1.5860291719436646,-6.961660861968994,-10.348488807678223,-3.270768880844116,1.176165223121643,-1.498655915260315,0.551550030708313,20.502031559169644,11.648422517109664,15.591367037422913,15.362148799740615,15.282212103939878,16.0670504073455,44.11910988753176,1712.2598876953125,0.0026172653306275606,129.19921875,0.39692988708941607,6165.490455348996,0.005319446790963411,0.003628041362389922,neutral
-727.1043701171875,62.35503387451172,3.121181011199951,15.064668655395508,8.132433891296387,1.927083969116211,-3.274656295776367,-3.761791706085205,-9.750298500061035,-4.853837013244629,0.9963157773017883,-3.116069793701172,0.5463206171989441,18.376673247128416,11.215313156180109,15.081763427157853,14.201858751084698,15.56487403217126,16.21582456828964,44.60749621680253,1811.1483154296875,0.0016532314475625753,117.45383522727273,0.3569846558415033,6070.041073069853,0.0019850516691803932,0.0005304937367327511,mindful
-707.3582153320312,66.73646545410156,2.253488540649414,11.169915199279785,9.74207878112793,1.058091640472412,-4.426185131072998,-4.683614730834961,-8.313273429870605,-4.813666820526123,1.7525571584701538,-2.376542091369629,-0.20691964030265808,19.74382450736075,12.351213792149755,15.439807013973669,13.888541753799505,15.15403409510502,15.790773123542959,44.78416608321787,1847.5775146484375,0.0017521110130473971,107.666015625,0.3222969250801282,5815.552227313702,0.0021739571820944548,0.0008867929573170841,mindful
-697.1661376953125,65.10820007324219,0.9303683638572693,13.633626937866211,5.959595680236816,2.8950700759887695,-1.3418184518814087,-4.775753021240234,-8.671515464782715,-4.5529985427856445,1.970604658126831,-1.6276460886001587,1.4267263412475586,21.023054595358968,12.435240042540693,15.521538012842264,14.725753807635755,16.076705700767068,16.75739446906087,45.32846412817109,1781.88671875,0.002621136838570237,117.45383522727273,0.3653928238824503,5997.995298271937,0.003910810686647892,0.0010299718705937266,mindful
-698.6376953125,68.6985855102539,1.1003665924072266,13.685942649841309,8.338750839233398,2.0671212673187256,-0.6167906522750854,-5.732325077056885,-7.861323833465576,-4.4119181632995605,1.0114723443984985,-1.7058652639389038,1.5934340953826904,21.559170819474076,12.50621694527418,16.057902476729776,14.56397837531958,15.619223981236313,16.19478638456513,45.21438233107081,1687.7242431640625,0.002669930923730135,99.38401442307692,0.3942513020833333,5886.7470703125,0.004592222161591053,0.0016258030664175749,mindful
-734.1256103515625,70.53291320800781,4.225179672241211,13.866500854492188,9.276524543762207,1.8420298099517822,-3.7091064453125,-2.884507417678833,-6.332503318786621,-4.483914852142334,2.006491184234619,-0.029675055295228958,-0.17859096825122833,20.336647909243492,11.752679128434897,15.228864552918528,14.345492000180354,15.74495177684708,15.909933821211478,44.897591633903765,1823.3536376953125,0.0015008143382146955,117.45383522727273,0.3,5814.503173828125,0.0013396149734035134,0.00015560301835648715,mindful
-697.8223266601562,67.33959197998047,-0.4495511054992676,11.88434886932373,6.899115085601807,0.5723885893821716,-4.5503764152526855,-6.025094032287598,-7.934865474700928,-4.872441291809082,2.6747522354125977,-1.4644695520401,-1.1086311340332031,19.31378805845301,12.191548843572958,14.7317089368233,14.417100439931884,16.171939241546653,16.418308532403124,45.48851102414406,1857.40283203125,0.0016126233385875821,184.5703125,0.3299144237716763,5651.2833611813585,0.0015823141438886523,0.0004639563849195838,mindful
-704.5413208007812,68.82943725585938,4.728954792022705,11.95059871673584,5.638882637023926,5.8340935707092285,-4.862490653991699,-4.862799167633057,-8.308452606201172,-4.876190662384033,2.3179216384887695,1.2227511405944824,0.5954944491386414,21.74592999025027,13.198613590374,15.738751279904905,15.183141250911913,16.49738342275029,16.22177578362953,44.77170919817199,1793.9217529296875,0.0020959414541721344,135.99917763157896,0.33750965831043955,5556.808706430288,0.0019676866941154003,0.00021837922395206988,mindful
