feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,mood
-569.5731201171875,36.59781646728516,-12.074026107788086,4.955482482910156,-5.378243923187256,-17.354467391967773,-14.647882461547852,-14.06385612487793,-9.675566673278809,0.2002933621406555,-16.20810317993164,-7.691762447357178,0.8735633492469788,12.5235593997125,21.188173900596592,21.932081439965337,19.715196669777058,20.732444202402306,20.675254317947257,43.86042773487343,1953.8485107421875,0.0122341299429535,143.5546875,0.2874928544207317,5030.786490091464,0.068109892308712,0.5389022827148438,excited
-434.1627502441406,33.842628479003906,-20.775936126708984,-2.662329912185669,-2.2210533618927,-10.298861503601074,-5.413197040557861,-10.489645957946776,-8.067303657531738,7.723738193511963,-6.674223899841309,-3.417975664138794,-3.0558083057403564,23.663969987252973,17.100683783261914,19.04040333418658,18.223810982577536,18.40585914648538,18.291121089966826,45.33655359549838,1864.1322021484373,0.0332119613885879,129.19921875,0.168654163431677,5228.823454483696,0.6158982515335083,67.735595703125,stress
-484.4974670410156,25.88142204284668,-31.882251739501957,-4.438724517822266,-10.472031593322754,-24.525001525878903,-11.578903198242188,-19.889175415039062,-22.44584846496582,-0.7532737255096436,-14.098100662231444,-0.5746279954910278,-0.105032168328762,14.17231763282437,16.947771938932764,20.095295585195124,17.29805312782844,18.42590390463653,20.092096050992463,46.82203391941599,1973.0804443359373,0.0143261896446347,103.359375,0.3156351391734973,6100.544713755123,0.1281477063894271,5.070428848266602,sadness
-583.9232177734375,35.69868087768555,-17.654512405395508,-8.30443000793457,-22.77191162109375,-18.33980178833008,-8.246467590332031,-12.97834587097168,-12.64686393737793,-8.395517349243164,-6.628996849060059,-2.37775993347168,-10.38145923614502,13.648654360562064,22.424885234031414,22.33722448918217,20.1690596712353,18.805281999540487,18.850564417439887,45.117866802829646,1972.1116943359373,0.0065975179895758,129.19921875,0.2637034449084052,4776.983326879041,0.0240368023514747,0.1075254529714584,mindful
-618.7537841796875,84.34830474853516,-2.4724555015563965,15.88118839263916,-8.007402420043945,-17.29778480529785,-3.6738860607147217,-3.755354642868042,-11.980852127075195,3.130880355834961,-6.381256580352783,-4.476200580596924,-2.4828505516052246,26.0433286672008,19.243590222584547,20.822031996827302,20.228364087743543,18.108106480102705,20.10176768814843,47.11662354910235,861.307861328125,0.0043189264833927,151.99908088235293,0.1288655598958333,3682.135009765625,0.0095320492982864,0.010156781412661,mindful
-727.0621948242188,55.81566619873047,-10.31624984741211,15.540366172790527,4.362054824829102,-10.232831954956056,-12.886127471923828,-10.294194221496582,-2.289553165435791,0.4342893958091736,-7.144543647766113,-4.91172456741333,-2.18645977973938,16.407448076354562,17.22120326484817,17.7934714819206,16.97578872977241,18.280998380842597,16.834055790008986,45.23514496662536,1982.6925048828125,0.0010891483398154,129.19921875,0.3108817858573718,5506.288499098558,0.0006552352569997,5.814983524032869e-05,sadness
-532.8291015625,46.73709487915039,-5.719125747680664,8.558879852294922,5.310097694396973,-7.0431227684021,-4.685838222503662,-8.65050983428955,-15.795917510986328,2.4505410194396973,-4.861327171325684,-10.030363082885742,-2.271253824234009,20.83132606872503,13.303417561670065,15.67887109813796,15.575226893894918,17.399077549202843,18.60637694795447,45.7047706755403,1805.879150390625,0.0133180124685168,71.77734375,0.3281705729166667,5617.294921875,0.1064676120877265,0.9245357513427734,excited
-650.5559692382812,66.44661712646484,-4.617539405822754,14.589341163635254,13.411490440368652,0.8910388350486755,-4.858218669891357,-11.165369987487791,-7.981582641601562,3.4555346965789795,-4.805128574371338,-5.022705078125,1.385422945022583,19.3721719904042,13.340277201922138,16.067012514994147,15.896582682389484,16.8242865577616,18.0545065692658,47.71036288579556,1598.55517578125,0.0033358042128384,107.666015625,0.3180045572916666,5703.64306640625,0.0064856698736548,0.0075610131025314,excited
-700.6417236328125,82.0769271850586,9.283639907836914,28.76370048522949,18.89924430847168,7.0497870445251465,-5.476057529449463,-9.066192626953123,-8.492259979248047,1.060912847518921,-3.3077428340911865,-11.57192611694336,-1.1155965328216553,18.35666293345668,12.192264897864812,15.790351246940151,15.182115191828624,15.995687272506656,17.125599253559614,46.5121948415084,1310.5531005859375,0.0013933650916442,161.4990234375,0.2724112322230539,5246.107199663174,0.0010371741373091,0.0001313735265284,sadness
-723.71240234375,61.02585983276367,25.226608276367188,22.543197631835938,16.86244010925293,10.87729835510254,6.425616264343262,5.348230838775635,-0.0933780819177627,4.372459888458252,7.852012634277344,3.107879161834717,-0.4814420342445373,21.681433683269223,14.371470038253118,15.20202988752676,14.57737412260192,15.39895815371438,15.8064089462054,45.563158640606616,1171.290771484375,0.0012788990279659,161.4990234375,0.138818658934049,6235.381518404908,0.0006857198313809,3.278098301962018e-05,mindful
-558.1367797851562,28.35515022277832,-11.212072372436523,-0.3056629002094269,-10.303314208984377,-10.182580947875977,-7.743775844573975,-16.636680603027344,-9.197368621826172,-6.413819313049316,-4.887726306915283,-7.786608219146728,-8.337310791015625,15.73382389933944,15.838911783680445,17.000225686947278,15.911107226585267,16.075674337098256,16.596035832893957,39.87856800469493,1754.9803466796875,0.0113589232787489,107.666015625,0.28796875,5346.19189453125,0.0730597600340843,0.5169265866279602,stress
-436.3140869140625,13.858989715576172,-27.99287223815918,2.736622095108032,-19.604246139526367,-11.07934856414795,-3.2725942134857178,-19.69898796081543,-6.427825927734375,-7.737499713897705,-5.882426738739014,-7.644474506378174,-8.145835876464844,15.467550113869631,19.940722126630337,20.475938190768844,19.11174341619658,19.986605705460697,19.900616753896347,40.66423056928328,1996.740966796875,0.0310151055455207,99.38401442307692,0.2286238236860795,4737.6717307350855,0.4707643389701843,30.625804901123047,stress
-422.8934326171875,30.222339630126957,-25.5360050201416,12.015002250671388,-11.858722686767578,-19.098386764526367,-4.305247783660889,-21.78128433227539,-15.24572467803955,-5.464953422546387,-8.349898338317871,-10.93524932861328,-6.132796764373779,14.73235251394014,20.4176666904438,20.49582836630685,19.633113504620333,19.615842607426856,21.84990723974461,47.33888492336428,2079.410400390625,0.0345220416784286,89.10290948275862,0.18373291015625,5192.0859375,0.6003530025482178,63.67714691162109,stress
